,precision,recall,f1-score,support
hit,0.0,0.0,0.0,16.0
out,0.7951807228915663,0.8918918918918919,0.8407643312101911,148.0
strikeout,0.36363636363636365,0.3333333333333333,0.34782608695652173,24.0
walk,0.0,0.0,0.0,5.0
accuracy,0.7253886010362695,0.7253886010362695,0.7253886010362695,0.7253886010362695
macro avg,0.2897042716319825,0.3063063063063063,0.2971476045416782,193.0
weighted avg,0.6549949208042721,0.7253886010362695,0.6879841818967088,193.0
