,precision,recall,f1-score,support
hit,0.05555555555555555,0.0625,0.058823529411764705,16.0
out,0.7938931297709924,0.7027027027027027,0.7455197132616488,148.0
strikeout,0.34285714285714286,0.5,0.4067796610169492,24.0
walk,0.0,0.0,0.0,5.0
accuracy,0.6062176165803109,0.6062176165803109,0.6062176165803109,0.6062176165803109
macro avg,0.29807645704592267,0.31630067567567566,0.30278072592259064,193.0
weighted avg,0.6560292410547522,0.6062176165803109,0.6271544347032074,193.0
