,precision,recall,f1-score,support
hit,0.0,0.0,0.0,16.0
out,0.7790055248618785,0.9527027027027027,0.8571428571428571,148.0
strikeout,0.3333333333333333,0.16666666666666666,0.2222222222222222,24.0
walk,0.0,0.0,0.0,5.0
accuracy,0.7512953367875648,0.7512953367875648,0.7512953367875648,0.7512953367875648
macro avg,0.27808471454880296,0.27984234234234234,0.2698412698412698,193.0
weighted avg,0.6388228895313887,0.7512953367875648,0.6849247471009128,193.0
