,precision,recall,f1-score,support
hit,0.09523809523809523,0.125,0.10810810810810811,16.0
out,0.7894736842105263,0.6081081081081081,0.6870229007633588,148.0
strikeout,0.2826086956521739,0.5416666666666666,0.37142857142857144,24.0
walk,0.0,0.0,0.0,5.0
accuracy,0.5440414507772021,0.5440414507772021,0.5440414507772021,0.5440414507772021
macro avg,0.2918301187751989,0.3186936936936937,0.2916398950750096,193.0
weighted avg,0.6484379455058009,0.5440414507772021,0.5819865531450391,193.0
